Estado,Municipio,Colonia,Codigo
Distrito Federal,Álvaro Obregón,Real de Tarango,1586
Distrito Federal,Álvaro Obregón,Misiones de Tarango,1587
Distrito Federal,Álvaro Obregón,Tarango,1588
Distrito Federal,Álvaro Obregón,Lomas de Tarango Reacomodo,1589
Distrito Federal,Álvaro Obregón,El Rincón,1590
Distrito Federal,Álvaro Obregón,Merced Gómez,1600
Distrito Federal,Álvaro Obregón,Sociedad Cooperativa Unión Poder Popular,1600
Distrito Federal,Álvaro Obregón,Profesor J. Arturo López Martínez,1610
Distrito Federal,Álvaro Obregón,Colinas de Tarango,1610
Distrito Federal,Álvaro Obregón,Ex-Hacienda de Tarango,1618
Distrito Federal,Álvaro Obregón,Arcos Centenario,1618
Distrito Federal,Álvaro Obregón,La Martinica,1619
Distrito Federal,Álvaro Obregón,Rinconada de Tarango,1619
Distrito Federal,Álvaro Obregón,Lomas de Tarango,1620
Distrito Federal,Álvaro Obregón,Los Juristas,1630
Distrito Federal,Álvaro Obregón,Lomas de Puerta Grande,1630
Distrito Federal,Álvaro Obregón,Puerta Grande,1630
Distrito Federal,Álvaro Obregón,Belém de las Flores,1630
Distrito Federal,Álvaro Obregón,Heron Proal,1640
Distrito Federal,Álvaro Obregón,Ponciano Arriaga,1645
Distrito Federal,Álvaro Obregón,Palmas Axotitla,1650
Distrito Federal,Álvaro Obregón,La Milagrosa,1650
Distrito Federal,Álvaro Obregón,El Ruedo,1650
Distrito Federal,Álvaro Obregón,Santa Lucía Chantepec,1650
Distrito Federal,Álvaro Obregón,Tlacuitlapa,1650
Distrito Federal,Álvaro Obregón,Ampliación Tlacuitlapa,1650
Distrito Federal,Álvaro Obregón,2o Reacomodo Tlacuitlapa,1650
Distrito Federal,Álvaro Obregón,Tecalcapa del Pueblo Tetelpan,1700
Distrito Federal,Álvaro Obregón,Tetelpan,1700
Distrito Federal,Álvaro Obregón,2a Del Moral del Pueblo de Tetelpan,1700
Distrito Federal,Álvaro Obregón,San Agustín del Pueblo Tetelpan,1700
Distrito Federal,Álvaro Obregón,La Joyita del Pueblo Tetelpan,1700
Distrito Federal,Álvaro Obregón,Ocotillos del Pueblo Tetelpan,1700
Distrito Federal,Álvaro Obregón,El Mirador del Pueblo Tetelpan,1708
Distrito Federal,Álvaro Obregón,El Encino del Pueblo Tetelpan,1708
Distrito Federal,Álvaro Obregón,Ampliación Alpes,1710
Distrito Federal,Álvaro Obregón,Las Águilas,1710
Distrito Federal,Álvaro Obregón,Lomas de Guadalupe,1720
Distrito Federal,Álvaro Obregón,Alcantarilla,1729
Distrito Federal,Álvaro Obregón,Lomas de las Águilas,1730
Distrito Federal,Álvaro Obregón,Puente Colorado,1730
Distrito Federal,Álvaro Obregón,La Peñita del Pueblo Tetelpan,1740
Distrito Federal,Álvaro Obregón,San Clemente Norte,1740
Distrito Federal,Álvaro Obregón,San Clemente Sur,1740
Distrito Federal,Álvaro Obregón,Las Aguilas 2o Parque,1750
Distrito Federal,Álvaro Obregón,Las Aguilas 1a Sección,1750
Distrito Federal,Álvaro Obregón,Las Aguilas 3er Parque,1750
Distrito Federal,Álvaro Obregón,Ampliación Las Aguilas,1759
Distrito Federal,Álvaro Obregón,Flor de Maria,1760
Distrito Federal,Álvaro Obregón,Atlamaya,1760
